business_id,name,rating,review_count,category,address,city,zip_code,review_text,review_rating
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4.5,1410,French,34 rue Montmartre,Paris,75001,"I love a restaurant or bar with a great vibe. I was on my way to a different restaurant, actually, when I walked by Le Comptoir de la Gastonomie and sensed...",5
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4.5,1410,French,34 rue Montmartre,Paris,75001,"Le Comptoir de la Gastronamie is French and literally translates to the counter where the art and knowledge of preparing and eating good food.

This gourmet...",4
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4.5,1410,French,34 rue Montmartre,Paris,75001,We arrived and were immediately seated and served bread and butter. Amazing! The restaurant's vibe that night were mostly Asian diners. They have a deli on...,5
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4.5,1410,French,34 rue Montmartre,Paris,75001,"Stopped for a sweet treat late one night, and the crème brûlée did not disappoint. It was very buttery, and the crust was perfect.",5
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4.5,1410,French,34 rue Montmartre,Paris,75001,Excellent boys server was nice even they are about to close . Good foods and old style atomospher love to come back again,5
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4.5,1410,French,34 rue Montmartre,Paris,75001,Luck would have it that we had the best dish here on the last full day of our 10-day stay in Paris.  Although the restaurant is literally just steps away...,5
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4.5,1410,French,34 rue Montmartre,Paris,75001,"So, between Fiancé and I, he has the more fancy palette L O L 

And if you didn't know, you know now -- this restaurant does Foie Gras really well at...",5
BuJnfWI86tTxFUon071EKg,Brasserie Bellanger,4.8,50,French,140 rue du Faubourg Poissonnière,Paris,75010,"Found Brasserie Bellanger on Yelp and been here twice for dinner this week. 

The first time, we were lucky to have been seated at the bar to see/watch as...",5
BuJnfWI86tTxFUon071EKg,Brasserie Bellanger,4.8,50,French,140 rue du Faubourg Poissonnière,Paris,75010,"Good French restaurant in Paris! I passed by this restaurant multiple times and it was always packed. 
 
Location: It is located around at the corner of Rue...",4
BuJnfWI86tTxFUon071EKg,Brasserie Bellanger,4.8,50,French,140 rue du Faubourg Poissonnière,Paris,75010,"This place was amazing-
Exquisite 
From the food to the service to the atmosphere
Everything was absolutely amazing",5
BuJnfWI86tTxFUon071EKg,Brasserie Bellanger,4.8,50,French,140 rue du Faubourg Poissonnière,Paris,75010,"Delicious pastries and coffee at reasonable prices. The fresh croissants are buttery and they have sandwiches, pizza, etc..",5
BuJnfWI86tTxFUon071EKg,Brasserie Bellanger,4.8,50,French,140 rue du Faubourg Poissonnière,Paris,75010,"Very tasty food at great price! Busy restaurant and service can be slow, but we got an offer for free dessert, so no complaints there.",5
BuJnfWI86tTxFUon071EKg,Brasserie Bellanger,4.8,50,French,140 rue du Faubourg Poissonnière,Paris,75010,"We arrived at 5:30 but were told we couldn't order food til 7, so not sure if that's normal or not. We came back at 7 since I read the reviews and was set...",4
BuJnfWI86tTxFUon071EKg,Brasserie Bellanger,4.8,50,French,140 rue du Faubourg Poissonnière,Paris,75010,"Flavors - 4.5/5
Textures - 4.5/5
Presentation - 4.5/5
Value for Money - 4/5

I loved this place! Excellent quality and the prices are so good. Great for...",5
